iso3c,region_id,country_name,income_id,gdp
MMR,EAS,Myanmar,LMC,1093.788086
MNE,ECS,Montenegro,UMC,20752.62109
MNG,EAS,Mongolia,LMC,10940.41504
MNP,EAS,Northern Mariana Islands,HIC,60955.72656
MOZ,SSF,Mozambique,LIC,1217.09021
MRT,SSF,Mauritania,LMC,4783.635742
MUS,SSF,Mauritius,UMC,20646.93359
MWI,SSF,Malawi,LIC,999.4413452
MYS,EAS,Malaysia,UMC,23906.26563
NAM,SSF,Namibia,UMC,6152.987305
NCL,EAS,New Caledonia,HIC,57330.20313
NER,SSF,Niger,LIC,1038.224121
NGA,SSF,Nigeria,LMC,4690.379395
NIC,LCN,Nicaragua,LMC,4611.840332
NLD,ECS,Netherlands,HIC,56849.375
NOR,ECS,Norway,HIC,64962.26172
NPL,SAS,Nepal,LIC,2902.249268
NRU,EAS,Nauru,UMC,11167.31934
NZL,EAS,New Zealand,HIC,41857.47656
OMN,MEA,Oman,HIC,30535.83398
PAK,SAS,Pakistan,LMC,4571.414551
PAN,LCN,Panama,HIC,28436.35938
PER,LCN,Peru,UMC,11877.08398
PHL,EAS,Philippines,LMC,7705.04541
PLW,EAS,Palau,HIC,18275.02539
PNG,EAS,Papua New Guinea,LMC,3912.381104
POL,ECS,Poland,HIC,33221.54297
PRI,LCN,Puerto Rico,HIC,34311.03125
PRT,ECS,Portugal,HIC,34961.94531
PRY,LCN,Paraguay,UMC,11810.42773
PSE,MEA,West Bank and Gaza,LMC,5985.683105
PYF,EAS,French Polynesia,HIC,60955.72656
QAT,MEA,Qatar,HIC,96261.66406
ROU,ECS,Romania,UMC,29983.55664
RUS,ECS,Russian Federation,UMC,26012.84961
RWA,SSF,Rwanda,LIC,1950.528076
SAU,MEA,Saudi Arabia,HIC,48921.23047
SDN,SSF,Sudan,LMC,4191.823242
SEN,SSF,Senegal,LIC,3067.662598
SGP,EAS,Singapore,HIC,97341.46875
SLB,EAS,Solomon Islands,LMC,2596.452881
SLE,SSF,Sierra Leone,LIC,1237.630249
SLV,LCN,El Salvador,LMC,7328.713379
